"","IP","age_read","destination","experimentName","grade","idnumber","lang","sex","time","time_in_a_week","userCode","userFileName","year"
"54","109.252.201.52",6,"agreement.csv","lopuhinpredicttest",4,"201","Русский ","male",NA,"min90","YJT65",65,21
"55","109.252.201.52",6,"agreement.csv","lopuhinpredicttest",11,"201","Русский ","male",NA,"min30","TEL68",68,21
"56","37.23.222.30",4,"agreement.csv","lopuhinpredicttest",6,"130","Русский","female",NA,"min30","TVV69",69,12
"57","37.23.222.30",4,"agreement.csv","lopuhinpredicttest",6,"130","Русский","female",NA,"min30","ARS70",70,12
"58","95.25.217.66",4,"agreement.csv","lopuhinpredicttest",1,"302","русский","female",NA,"min100500","VBY71",71,21
"59","5.228.121.77",4,"agreement.csv","lopuhinpredicttest",15,"303","русский","female",NA,"min10","MVO72",72,20
"60","195.9.193.194",4,"agreement.csv","lopuhinpredicttest",15,"304","русский‚ пушту","male",NA,"min60","TCY73",73,20
"61","95.84.239.162",5,"agreement.csv","lopuhinpredicttest",15,"305","русский","male",NA,"min30","KIZ74",74,20
"62","92.242.59.6",-62,"agreement.csv","lopuhinpredicttest",175,"тест","тест","female",NA,"min10","OLI75",75,164
"63","176.192.162.116",6,"agreement.csv","lopuhinpredicttest",6,"115","Русский","male",NA,"min100500","YQJ77",77,11
"64","176.192.162.116",6,"agreement.csv","lopuhinpredicttest",6,"115","Русский ","male",NA,"min100500","YXK78",78,11
"65","176.192.162.116",6,"agreement.csv","lopuhinpredicttest",6,"115","Русский ","male",NA,"min90","ZFP79",79,11
"66","46.242.11.165",6,"agreement.csv","lopuhinpredicttest",7,"140","Русский","female",NA,"min100500","TFI80",80,13
"67","109.252.123.238",5,"agreement.csv","lopuhinpredicttest",20,"308","русский","male",NA,"min30","KRD81",81,26
"68","109.252.192.139",6,"agreement.csv","lopuhinpredicttest",14,"306","русский","male",NA,"min30","KSU82",82,20
"69","109.252.114.234",5,"agreement.csv","lopuhinpredicttest",15,"312","русский","female",NA,"min100500","LHX83",83,45
"70","109.252.114.234",6,"agreement.csv","lopuhinpredicttest",15,"313","русский","male",NA,"min90","BQU84",84,49
"71","46.242.13.120",-5,"agreement.csv","lopuhinpredicttest",-11,"310","русский","female",NA,"min90","RTJ85",85,51
"72","89.178.211.232",6,"agreement.csv","lopuhinpredicttest",7,"141","русский","female",NA,"min90","ICO86",86,13
"73","95.84.239.162",5,"agreement.csv","lopuhinpredicttest",14,"121","русский","female",NA,"min10","YKJ87",87,100
"74","109.252.64.132",2.5,"agreement.csv","lopuhinpredicttest",7,"141","Русский","female",NA,"min60","VDE89",89,13
"75","83.169.216.168",7,"agreement.csv","lopuhinpredicttest",0,"317","русский","male",NA,"min60","XTW90",90,45
"76","178.219.154.129",5,"agreement.csv","lopuhinpredicttest",12,"314","Русский","male",NA,"min90","YPE91",91,18
"77","109.252.85.72",6,"agreement.csv","lopuhinpredicttest",319,"319","русский","male",NA,"min10","CNU92",92,26
"78","81.91.184.133",6,"agreement.csv","lopuhinpredicttest",6,"Незнаю","Руский","female",NA,"min90","IQZ93",93,11
"79","81.91.184.133",6,"agreement.csv","lopuhinpredicttest",6,"","Русский ","female",NA,"min90","SZL94",94,11
"80","85.249.40.175",6,"agreement.csv","lopuhinpredicttest",37,"320","русский","female",NA,"min100500","ROT95",95,44
"81","176.59.40.41",4.5,"agreement.csv","lopuhinpredicttest",7,"400","Русский","female",NA,"min100500","FII96",96,13
"82","176.59.40.41",4,"agreement.csv","lopuhinpredicttest",7,"400","Русский","female",NA,"min100500","YDN98",98,13
"83","85.249.40.175",3,"agreement.csv","lopuhinpredicttest",12,"404","Русский","male",NA,"min10","CHS99",99,18
"84","46.242.8.155",6,"agreement.csv","lopuhinpredicttest",0,"321","Русский","female",NA,"min30","ACZ100",100,44
"85","46.39.51.236",4,"agreement.csv","lopuhinpredicttest",7,"","Татарский","female",NA,"min100500","PGW101",101,12
"86","46.39.51.236",4,"agreement.csv","lopuhinpredicttest",7,"","Русский","female",NA,"min100500","CEV102",102,12
"87","81.91.186.61",6,"agreement.csv","lopuhinpredicttest",6,"","Русском","female",NA,"min90","WMW103",103,11
"88","95.84.239.162",9,"agreement.csv","lopuhinpredicttest",10,"0","русский","female",NA,"min90","ZAK104",104,0
"89","46.34.206.241",3,"agreement.csv","lopuhinpredicttest",7,"150","русский","female",NA,"min30","KUB106",106,13
